"id","date","scheme_name","scheme_type","scheme_category","no_of_schemes","no_of_folios","fund_mobilized","repurchase_redemption","net_inflow_outflow","net_aum","avg_net_aum","no_of_segregated_portfolios","net_aum_in_segregated_portfolios"
118,"01-04-2021","Value Fund/Contra Fund","Open ended Schemes","Growth/Equity Oriented Schemes",18.0,3740998.0,783.0,1456.77,-673.77,61305.28,61008.82,0.0,0.0
119,"01-04-2021","Focused Fund","Open ended Schemes","Growth/Equity Oriented Schemes",25.0,3971342.0,1943.02,1674.98,268.04,69437.98,68633.94,0.0,0.0
120,"01-04-2021","Sectoral/Thematic Funds","Open ended Schemes","Growth/Equity Oriented Schemes",107.0,8025092.0,4182.09,2476.94,1705.14,101440.79,99622.52,0.0,0.0
121,"01-04-2021","ELSS","Open ended Schemes","Growth/Equity Oriented Schemes",42.0,12663169.0,1374.63,1511.37,-136.74,125377.01,124789.67,0.0,0.0
122,"01-04-2021","Flexi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",25.0,8444409.0,3349.77,3089.3,260.46,159479.51,158484.39,0.0,0.0
123,"01-04-2021","Conservative Hybrid Fund","Open ended Schemes","Hybrid Schemes",21.0,383572.0,369.7,185.64,184.06,13179.69,13016.6,2.0,42.97
124,"01-04-2021","Balanced Hybrid Fund/Aggressive Hybrid Fund","Open ended Schemes","Hybrid Schemes",34.0,4756872.0,1947.41,2449.1,-501.69,123388.51,123024.24,2.0,9.3273
125,"01-04-2021","Dynamic Asset Allocation/Balanced Advantage Fund","Open ended Schemes","Hybrid Schemes",24.0,2874582.0,3196.67,1496.35,1700.32,109394.19,109808.8,0.0,0.0
126,"01-04-2021","Multi Asset Allocation Fund","Open ended Schemes","Hybrid Schemes",10.0,720915.0,325.31,299.61,25.7,14710.69,15664.52,0.0,0.0
127,"01-04-2021","Arbitrage Fund","Open ended Schemes","Hybrid Schemes",27.0,512165.0,10907.56,3662.41,7245.15,81386.95,85965.56,0.0,0.0
